Partner Name,Customer Account Name,Workload Name,Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Workload Progress,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD)
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hVrsEQAS/view"", ""Transelec S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eC7nOAE/view"", ""Crecimiento G.E Transelec"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Ons3iIAB/view"", ""Crecimiento G.E Transelec"")",,Corporate,MCO CORP SUR,,0-2: Tech Eval/Solution Dev,2026-10-22,2026-11-20,"150,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001lHlfdQAC/view"", ""CGE"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eBuyOAE/view"", ""CGE - Gemini Enterprise + Agentes IA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OmPQ0IAN/view"", ""CGE - 3000 seats Gemini Enterprise + Agentes IA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000PU7mKAG/view"", ""ER-480544"")",Corporate,MCO CORP SUR,Build with AI,3:  Proposal / Negotiation,2026-11-20,2026-12-25,"360,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001lzH2uQAE/view"", ""Nueva Masvida SA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082SecOAE/view"", ""Nueva MasVida - WL GCP - Devaid"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KYqM2IAL/view"", ""Nueva Masvida SA - Google Cloud Platform (NTT)"")",,Corporate,MCO CORP SUR,Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-09-29,2027-02-24,"40,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hu4UaQAI/view"", ""Sociedad Austral de Electricidad S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eAwsOAE/view"", ""AI Analitica fotos"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Omp5KIAR/view"", ""Aceleracion procesos fotografia AI"")",,Corporate,MCO CORP SUR,Analytics,3:  Proposal / Negotiation,2026-08-17,2026-09-14,"93,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hc0ZsQAI/view"", ""Essbio"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082QcyOAE/view"", ""ESSBIO - WL AI iniciativas 2026 - Devaid"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000ORMTeIAP/view"", ""Oportunidad 2026 - ESSBIO"")",,Corporate,MCO CORP SUR,Build with AI,0-2: Tech Eval/Solution Dev,2026-06-23,2026-07-31,"66,588.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000018MxGlIAK/view"", ""Empresas SB"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009e41tOAA/view"", ""[DBS] Implementación Dataplex - Devaid"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NFnWLIA1/view"", ""Sociedad de Inversiones DJ/$540K TCV/3 YRS"")",,MCO,Chile,Analytics,4.2: Ramping / Deliver,2026-06-01,2026-09-01,"12,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hhdVzQAI/view"", ""Administradora de Fondos de Pensiones Habitat S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082OFTOA2/view"", ""Habitat - WL - Analitica (Devaid)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000ODXTfIAP/view"", ""AFP Habitat - Data Anlitica de llamadas (Devaid)"")",,Corporate,MCO CORP SUR,Analytics,0-2: Tech Eval/Solution Dev,2026-08-19,2026-12-21,"23,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hoZGwQAM/view"", ""Abastible S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009e1HpOAI/view"", ""Modelos Financieros y Gestión de Clientes (Fase 2)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cegGLQAY/view"", ""Abastible S.A./ $4.4M TCV/3YRS#SAPCAP"")",,MCO,Chile,Analytics,4.3: Migrated/Implemented,2026-02-28,2026-05-29,"144,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hMjsOQAS/view"", ""Claro Chile S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082NEjOAM/view"", ""[ClaroVTR] POC BigQuery & Looker migration"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KrDa6IAF/view"", ""Claro Chile - New data migration from Oracle (Commit 2026) #SalesCreditPOC"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000PamHKAS/view"", ""ER-495991"")",MCO,Chile,Analytics,3:  Proposal / Negotiation,2026-10-01,2026-12-01,"308,880.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hhwj3QAA/view"", ""Empresas Hites SA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082NEPOA2/view"", ""[HITES] Looker migration from PowerBI POC"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000MKQPeIAP/view"", ""Empresas Hites - Oracle Financial - App Tier & Pull Through #Oracle"")",,MCO,Chile,Analytics,4.3: Migrated/Implemented,2026-07-01,2026-08-01,"36,000.00"
