Partner Name,Pillar,Solution (Sales Play),Product,Tier 1 Profiles Count,Tier 2 Profiles Count,Total Tier 1 & 2 Profiles
CU2 CLOUD TEC STORE SL,Security,Agentic Defense with Google Security,Security Command Center,8,3,11
CU2 CLOUD TEC STORE SL,Security,Agentic Defense with Google Security,Security Operations,3,8,11
CU2 CLOUD TEC STORE SL,Security,Secure Innovation with Google Cloud,Cloud Security,11,2,13
CU2 CLOUD TEC STORE SL,Workspace,Agentic Workplace Transformation,Workspace,2,,2
Consiti (Consultoría y Soluciones Informáticas),Application Modernization,"Migrate, Modernize and Build",Apigee API Management,,,
Consiti (Consultoría y Soluciones Informáticas),Application Modernization,"Migrate, Modernize and Build",Cloud Run,,1,1
Consiti (Consultoría y Soluciones Informáticas),Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,,,
Consiti (Consultoría y Soluciones Informáticas),Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,,,
Consiti (Consultoría y Soluciones Informáticas),Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,,,
Consiti (Consultoría y Soluciones Informáticas),Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise for Customer Experience,,,
Consiti (Consultoría y Soluciones Informáticas),Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,,,
Consiti (Consultoría y Soluciones Informáticas),Artificial Intelligence,Scale AI Apps and Agents,AI Applications,,,
Consiti (Consultoría y Soluciones Informáticas),Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,,,
Consiti (Consultoría y Soluciones Informáticas),Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,,,
Consiti (Consultoría y Soluciones Informáticas),Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,,,
Consiti (Consultoría y Soluciones Informáticas),Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,,,
Consiti (Consultoría y Soluciones Informáticas),Data & Analytics,The AI Ready Data Cloud,BigQuery,,,
Consiti (Consultoría y Soluciones Informáticas),Data & Analytics,The AI Ready Data Cloud,Dataflow,,,
Consiti (Consultoría y Soluciones Informáticas),Data & Analytics,The AI Ready Data Cloud,Dataproc,,,
Consiti (Consultoría y Soluciones Informáticas),Data & Analytics,The AI Ready Data Cloud,Looker,,,
Consiti (Consultoría y Soluciones Informáticas),Databases,"Migrate, Modernize, and Build with Data Cloud",AlloyDB for PostgreSQL,,,
Consiti (Consultoría y Soluciones Informáticas),Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,,,
Consiti (Consultoría y Soluciones Informáticas),Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,,,
Consiti (Consultoría y Soluciones Informáticas),Databases,The AI Ready Data Cloud,AlloyDB for PostgreSQL,,,
Consiti (Consultoría y Soluciones Informáticas),Databases,The AI Ready Data Cloud,Cloud SQL,,,
Consiti (Consultoría y Soluciones Informáticas),Databases,The AI Ready Data Cloud,Spanner,,,
Consiti (Consultoría y Soluciones Informáticas),Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,,,
Consiti (Consultoría y Soluciones Informáticas),Infrastructure Modernization,Enterprise Platform of Choice: SAP,SAP on Google Cloud,,,
Consiti (Consultoría y Soluciones Informáticas),Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,,,
Consiti (Consultoría y Soluciones Informáticas),Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,,1,1
Consiti (Consultoría y Soluciones Informáticas),Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,1,,1
Consiti (Consultoría y Soluciones Informáticas),Infrastructure Modernization,Sovereignty,Google Distributed Cloud,,,
Consiti (Consultoría y Soluciones Informáticas),Security,Agentic Defense with Google Security,Google Threat Intelligence,,,
Consiti (Consultoría y Soluciones Informáticas),Security,Agentic Defense with Google Security,Security Command Center,,1,1
Consiti (Consultoría y Soluciones Informáticas),Security,Agentic Defense with Google Security,Security Operations,,,
Consiti (Consultoría y Soluciones Informáticas),Security,Secure Innovation with Google Cloud,Cloud Security,1,,1
Consiti (Consultoría y Soluciones Informáticas),Workspace,Agentic Workplace Transformation,Workspace,,,
