Partner:,TIVIT COLOMBIA S A S,,,Last Update:,9 - Sep 2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Alert Criteria:,Target Go-Live risk for active pipeline (Stages 0-2 & 3),,🔴 Critical (≤14d / Overdue),🌸 High (15-30d),🟡 Medium (31-45d),,⚪ Normal (>45d / Stage 4+),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Customer Account Name,Account Tier,Workload Name,Workload Owner,Workload Progress,Capacity Status (DRP Readiness),Opportunity Name,Next Steps,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Sales Play,Workload Solution,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD),Last Touch,Link,Steff Priority
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hoLAdQAM/view"", ""Codelco"")",Tier 1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kHoaOAE/view"", ""[Codelco] Gemini Enterprise for SAP"")",Oscar Tarre,0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000JBijlIAD/view"", ""Codelco - Gemini Enterprise"")",08/26 - OT: Initiative on hold due to ongoing RFP,,MCO,Chile,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),Not a Solution,2027-02-26,2027-04-30,$0.00,,,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf00001F8x8OIAR/view"", ""Pontificia Universidad Católica de Chile"")",Tier 1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZGelOAG/view"", ""WL PUC | GEA 5K seats | 400K ARR | 3Y | TIVIT"")",Oscar Barraza,3:  Proposal / Negotiation,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OrUNSIA3/view"", ""PUC | GEA 13K seats | 780K ARR | 1Y | TIVIT"")",CE: Proposal delivered on Friday. Customer will review internally and select from the initiatives the execution order.,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf0000004R26KAE/view"", ""ER-504643"")",PS,MCO PS,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-09-23,2026-10-09,"$400,000.00",,,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hoZGwQAM/view"", ""Abastible S.A."")",Tier 1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009oWIrOAM/view"", ""Agentspace"")",Leonardo Landaeta,4.3: Migrated/Implemented,🟢 Ready (2 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000JfQ4dIAF/view"", ""Abastible - Agentspace #150 seats"")",,,MCO,Chile,Build with AI,,Not a Solution,2025-07-10,2025-08-01,"$52,250.00",,,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hgtNQQAY/view"", ""Masisa S.A"")",Tier 2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009oTvHOAU/view"", ""[Masisa] - DM - SQL Server, MySQL, PostgreSQL Modernization to PaaS"")",Carolina López,3:  Proposal / Negotiation,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KZPh1IAH/view"", ""[Masisa] - DM - SQL Server, MySQL, PostgreSQL Modernization to PaaS"")",Waiting for GCE migration,"ER-467909, ER-387963",MCO,Chile,Migrate and Modernize Databases,"Migrate, Modernize, and Build with Data Cloud (Databases)","Move to Managed Databases (Homogeneous - Cloud SQL, AlloyDB, Firestore)",2027-01-28,2027-06-30,"$80,000.00",,,
