Partner:,INFORMACIÓN LOCALIZADA SAS (Servinformación),,,Last Update:,1 - Sep 2026,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Alert Criteria:,Target Go-Live risk for active pipeline (Stages 0-2 & 3),,🔴 Critical (≤14d / Overdue),🌸 High (15-30d),🟡 Medium (31-45d),,⚪ Normal (>45d / Stage 4+),,,,,,,,,,
,,,,,,,,,,,,,,,,,
Customer Account Name,Account Tier,Workload Name,Workload Owner,Workload Progress,Capacity Status (DRP Readiness),Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Sales Play,Workload Solution,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD),Last Touch,Link
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001rbPTqQAM/view"", ""MEGA SANTAMARIA S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kLu3OAE/view"", ""#GCP #GE"")",Alexandra Rodríguez,0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OC4LeIAL/view"", ""Mega Santamaria #GCP #GE #Journeytocloud"")",,Corporate,MCO CORP NORTE,Infra AI,AI Infrastructure,AI Infra - Other,2027-03-19,2027-04-09,"$100,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kwApBQAU/view"", ""Servex"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WEBROA4/view"", ""Servex # Gemini Enterprise"")",Christiane Amorosino,0-2: Tech Eval/Solution Dev,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PhpG0IAJ/view"", ""Servex #GCP# Gemini Enterprise CX# MCO# Out."")",,Corporate,MCO CORP CCA,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),AI Search & Specialized AI,2026-11-30,2026-12-31,"$20,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hlaVZQAY/view"", ""Compania Azucarera Salvadorena SA de CV"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eRkyOAE/view"", ""Cassa - Data Lake"")",Claudia Cermeli,0-2: Tech Eval/Solution Dev,🟢 Ready (31 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Ort5VIAR/view"", ""Cassa - Data Lake"")",,Corporate,MCO CORP CCA,Analytics,"Migrate, Modernize, and Build with Data Cloud (Analytics)",Migrate Data Warehouses to BigQuery,2026-10-12,2027-01-22,"$60,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M000026qNYRQA2/view"", ""Cooperativa Capel"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eRktOAE/view"", ""COOPERATIVACAPEL  DISASTER RECOVERY"")",Jilver Tyson Fuentes,0-2: Tech Eval/Solution Dev,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PiJCyIAN/view"", ""COOPERATIVACAPEL OUT DISASTER RECOVERY GCP"")",,Corporate,MCO CORP SUR,Migrate Modernize and Build,"Migrate, Modernize and Build",Not a Solution,2026-09-30,2026-10-31,"$30,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hr9X7QAI/view"", ""Asociacion Mutual SanCor Salud"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WE3hOAG/view"", ""SanCor Salud Bigquery Looker"")",Agustina Maria Cano,0-2: Tech Eval/Solution Dev,🟢 Ready (31 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PihOaIAJ/view"", ""SanCor Salud #INB #Bigquery #Looker"")",,Corporate,MCO CORP SUR,Analytics,"Migrate, Modernize, and Build with Data Cloud (Analytics)",Migrate Data Warehouses to BigQuery,2026-11-16,2026-12-16,"$113,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hRoTJQA0/view"", ""Vistony Compañía Industrial del Perú S.A.C."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eRYTOA2/view"", ""Vistony | 50 Licencias Gemini Enterprise"")",Arianne Mahuad,0-2: Tech Eval/Solution Dev,🟢 Ready (3 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OromyIAB/view"", ""Vistony | 50 Licencias Gemini Enterprise"")",,Corporate,MCO CORP CCA,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-11-01,2026-12-15,"$15,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hr9X7QAI/view"", ""Asociacion Mutual SanCor Salud"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WE3cOAG/view"", ""SanCor Salud Gemini Enterprise"")",Agustina Maria Cano,0-2: Tech Eval/Solution Dev,🟢 Ready (3 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Pil3MIAR/view"", ""SanCor Salud #INB #Gemini Enterprise"")",,Corporate,MCO CORP SUR,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-11-16,2026-12-28,"$5,040.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hfx2uQAA/view"", ""CLINICA SAN PABLO S.A.C."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WDvTOAW/view"", ""Clinica San Pablo #GCP #Gemini Enterprise Agent Platform"")",Christiane Amorosino,0-2: Tech Eval/Solution Dev,🟢 Ready (3 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PihKTIAZ/view"", ""ClinicaSanPablo #GCP #Data Analitica"")",,Corporate,MCO CORP CCA,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Not a Solution,2026-11-27,2026-12-31,"$30,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hfx2uQAA/view"", ""CLINICA SAN PABLO S.A.C."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WDvOOAW/view"", ""Clinica San Pablo #GCP #Gemini Enterprise Agent Platform"")",Christiane Amorosino,0-2: Tech Eval/Solution Dev,🟢 Ready (3 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PihMAIAZ/view"", ""Clinica San Pablo #GCP #Gemini Enterprise Agent Platform"")",,Corporate,MCO CORP CCA,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),Not a Solution,2026-11-27,2026-12-31,"$20,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hYAcjQAG/view"", ""Corporacion Vega"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eRLjOAM/view"", ""Corporacion Vega | 50 Licencias Gemini Enterprise"")",Arianne Mahuad,0-2: Tech Eval/Solution Dev,🟢 Ready (3 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OrlHHIAZ/view"", ""Corporacion Vega | 50 Licencias Gemini Enterprise"")",,Corporate,MCO CORP CCA,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-11-01,2026-11-30,"$15,000.00",,
