Partner:,INFORMACIÓN LOCALIZADA SAS (Servinformación),,,Last Update:,1 - Sep 2026,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Alert Criteria:,Target Go-Live risk for active pipeline (Stages 0-2 & 3),,🔴 Critical (≤14d / Overdue),🌸 High (15-30d),🟡 Medium (31-45d),,⚪ Normal (>45d / Stage 4+),,,,,,,,,,
,,,,,,,,,,,,,,,,,
Customer Account Name,Account Tier,Workload Name,Workload Owner,Workload Progress,Capacity Status (DRP Readiness),Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Sales Play,Workload Solution,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD),Last Touch,Link
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3l72QAA/view"", ""S.A. SAN MIGUEL A.G.I.C.I. y F."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WDPSOA4/view"", ""San Miguel Global infra fuera grow"")",Agustina Maria Cano,0-2: Tech Eval/Solution Dev,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PYlkvIAD/view"", ""San Miguel Global #OUT #infra fuera lo de Grow"")",,Corporate,MCO CORP SUR,Migrate Modernize and Build,Enterprise Platform of Choice: SAP,SAP Direct,2026-11-20,2026-12-21,"$60,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001mt11dQAA/view"", ""METROPOLES MIDIA E COMUNICACAO LTDA"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZNJpOAO/view"", ""METROPOLES  #SECOPS"")",Tamires Peres,0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Opp51IAB/view"", ""METROPOLES  #SECOPS #GCP #OUT"")",,Corporate,BR CORP,Security,Secure Innovation with Google Cloud,Security Workload,2026-09-30,2026-09-30,"$15,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hlcrVQAQ/view"", ""La Fabril, S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kKWZOA2/view"", ""GE Plus"")",Alexandra Rodríguez,4.2: Ramping / Deliver,🟢 Ready (3 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PMyJbIAL/view"", ""CSM-UPGRADE- LA FABRIL"")",,Corporate,MCO CORP NORTE,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-06-20,2026-08-31,"$2,160.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hjFVIQA2/view"", ""ASOPAGOS S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eOhIOAU/view"", ""Asopagos - Nuevos desarrollos + Deteccion amenazas"")",Dario Palma Villarreal,0-2: Tech Eval/Solution Dev,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000P83xUIAR/view"", ""#AWT_playcompete_Servi ASOPAGOS S A"")",,Corporate,MCO CORP NORTE,Migrate Modernize and Build,,,2026-09-16,2026-09-30,"$170,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M000026qNYRQA2/view"", ""Cooperativa Capel"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZLz0OAG/view"", ""Gemini Enterprise Capel"")",Jilver Tyson Fuentes,0-2: Tech Eval/Solution Dev,🟢 Ready (3 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OoE7qIAF/view"", ""Cooperativa Capel - GEMINI ENTERPRISE"")",,Corporate,MCO CORP SUR,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-11-19,2026-12-28,"$132,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001sdcy5QAA/view"", ""Grupo Altum"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eOhcOAE/view"", ""Altum - Infra"")",Dario Palma Villarreal,4.2: Ramping / Deliver,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000P5n5PIAR/view"", ""Grupo Altum - LABORATORIO IA (SOW) - GE - GWS- #AWT_playcompete_Servi"")",,Corporate,MCO CORP NORTE,Migrate Modernize and Build,"Migrate, Modernize and Build",Not a Solution,2026-08-28,2026-08-28,"$110,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001uF0qJQAS/view"", ""INDUSTRIAL CONCONCRETO S A S"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eOh8OAE/view"", ""Conconcreto - Davinci - Migration"")",Dario Palma Villarreal,3:  Proposal / Negotiation,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000P5ZhIIAV/view"", ""Constructora Conconcreto S.A - #AWT_playcompete_Servi"")",,Corporate,MCO CORP NORTE,Migrate Modernize and Build,,,2026-09-09,2026-09-09,"$70,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hNkiUQAS/view"", ""Bahia Specialty Cellulose S/A"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZLpFOAW/view"", ""Bahia Specialty Cellulose (Bracell) #GCP #GoogleEarthEngine"")",Tamires Peres,0-2: Tech Eval/Solution Dev,🟢 Ready (31 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OBWNtIAP/view"", ""Bahia Specialty Cellulose (Bracell) #GCP #GoogleEarthEngine"")",,Corporate,BR CORP,Analytics,"Migrate, Modernize, and Build with Data Cloud (Analytics)",Not a Solution,2026-10-30,2026-11-30,"$7,800.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hWsgwQAC/view"", ""FUNDACION VALLE DEL LILI"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZLR8OAO/view"", ""WL_SoW DAF_fvl"")",Jorge Armando Barrios,4.1: Pre Ramp / Mobilize,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000POyFSIA1/view"", ""SoW DAF Fundación Valle del Lili Ensayos clínicos con IA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000TaDoKAK/view"", ""ER-504239"")",Corporate,MCO CORP NORTE,Migrate Modernize and Build,"Migrate, Modernize and Build",Not a Solution,2026-09-01,2026-10-29,"$291,084.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hcEHaQAM/view"", ""Ecuasal"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WBsNOAW/view"", ""FY26 Tier3 - Ecuasal #OUT #GCP # Infra #MV"")",Jorge Armando Barrios,0-2: Tech Eval/Solution Dev,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PHyWwIAL/view"", ""FY26 Tier3 - Ecuasal #OUT #GCP # Infra #MV"")",,Corporate,MCO CORP NORTE,Migrate Modernize and Build,"Migrate, Modernize and Build",Linux,2026-10-09,2026-11-13,"$42,289.08",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001xAw1SQAS/view"", ""SONGA C.A"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kJNgOAM/view"", ""Songa #GE"")",Alexandra Rodríguez,0-2: Tech Eval/Solution Dev,🟢 Ready (3 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OJTnBIAX/view"", ""Songa Sociedad Nacional de Galapagos - Gemini Enterprise #soloGEServi"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000TZKtKAO/view"", ""ER-500742"")",Corporate,MCO CORP NORTE,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-09-18,2026-10-02,"$19,380.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h6YIoQAM/view"", ""EFICACIA S A"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WBirOAG/view"", ""EFICACIA - Licencias de Gemini Enterprise"")",Jorge Armando Barrios,0-2: Tech Eval/Solution Dev,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PDyiyIAD/view"", ""EFICACIA - Licencias de Gemini Enterprise"")",,Corporate,MCO CORP NORTE,Build with AI,,,2026-10-01,2026-10-30,"$60,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hRYo9QAG/view"", ""Laive S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eMkPOAU/view"", ""Laive | 100 Licencias Gemini Enterprise"")",Arianne Mahuad,0-2: Tech Eval/Solution Dev,🟢 Ready (3 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OqZY0IAN/view"", ""Laive | 100 Licencias Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000PaLzKAK/view"", ""ER-495115"")",Corporate,MCO CORP CCA,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),,2026-12-01,2026-12-31,"$30,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001seNg5QAE/view"", ""PARQUE DEL RECUERDO"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WBbCOAW/view"", ""Parque del Recuerdo - WL GE - Servinformacion"")",Mario Alegre,0-2: Tech Eval/Solution Dev,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OTeBQIA1/view"", ""Parque del Recuerdo Chile - Gemini Enterprise - EXPLORACION"")",,Corporate,MCO CORP SUR,,,,2026-09-04,2026-12-21,$0.00,,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000012jyFAIAY/view"", ""Datta business LTDA"")",3,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eMNkOAM/view"", ""DN - Datta Business - MVP GE4CX integrado ao WhatsApp"")",Giullia Vital Antunes,4.2: Ramping / Deliver,🟢 Ready (19 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000O04pzIAB/view"", ""DN - Datta Business - MVP GE4CX integrado ao WhatsApp"")",,Brazil,Brazil DN,Migrate Modernize and Build,"Migrate, Modernize and Build",GKE/CloudRun,2026-08-28,2026-10-30,"$100,465.44",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf0000134qVbIAI/view"", ""Vinna.one - WM SISTEMAS"")",3,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eMKCOA2/view"", ""Vinna.one #ServiBrasil"")",Vito Colognori Ialongo,3:  Proposal / Negotiation,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NPcVvIAL/view"", ""vinna.one #GCP #Acc_Latam #InfraMigration"")",,Brazil,Brazil DN,Migrate Modernize and Build,"Migrate, Modernize and Build",Not a Solution,2026-10-22,2026-10-23,"$100,239.24",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000014s7jMIAQ/view"", ""ENDOLIFE HEALTH-TECH TECNOLOGIA LTDA"")",3,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eMKgOAM/view"", ""Endolife - GCP - Infra - GFSCP"")",Thalita Miranda,4.2: Ramping / Deliver,🟢 Ready (19 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OqBccIAF/view"", ""Endolife - GCP - Infra - GFSCP"")",,Brazil,Brazil DN,Migrate Modernize and Build,"Migrate, Modernize and Build",GKE/CloudRun,2026-08-10,2026-10-26,"$99,791.76",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001mYWnxQAG/view"", ""Bóticas y Salud S.A.C."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WBGiOAO/view"", ""Bóticas y Salud | S.A.C GECX"")",Christiane Amorosino,0-2: Tech Eval/Solution Dev,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000POSB4IAP/view"", ""Bóticas y Salud | S.A.C GECX"")",,Corporate,MCO CORP CCA,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),AI Search & Specialized AI,2026-10-01,2026-11-30,"$20,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hT6tiQAC/view"", ""GRUPO ZOOM LTDA"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZJ1GOAW/view"", ""zoom:GE"")",Andrea Forero,4.3: Migrated/Implemented,🟢 Ready (3 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PNyu9IAD/view"", ""zoom_gemini enterprise_ea"")",,Corporate,MCO CORP NORTE,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-07-06,2026-07-13,"$7,200.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001zAyC5QAK/view"", ""SPORT LINE AMERICA INC"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eLAuOAM/view"", ""Sportline SAP IaaS Servi"")",Daniel Araya,0-2: Tech Eval/Solution Dev,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NSaNuIAL/view"", ""SAP IaaS Sportline"")",,Corporate,MCO CORP CCA,Migrate Modernize and Build,Enterprise Platform of Choice: SAP,SAP Direct,,,"$202,650.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001zAGXXQA4/view"", ""Central America Bottling Corporation CBC"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kIUHOA2/view"", ""CBC - GE & AI para Marktech #roadshowcentroamerica"")",Daniel Cornejo,0-2: Tech Eval/Solution Dev,🟢 Ready (3 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OAegJIAT/view"", ""CBC - GE & AI para Marktech #roadshowcentroamerica"")",,Corporate,MCO CORP CCA,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-11-17,,"$100,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hVfQdQAK/view"", ""MundoDreams S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eKsqOAE/view"", ""MundoDreams S.A. #GCP #INB #GE"")",Jilver Tyson Fuentes,0-2: Tech Eval/Solution Dev,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Oeq9hIAB/view"", ""MundoDreams S.A. #GCP #INB #GE"")",,Corporate,MCO CORP SUR,,,,2026-09-30,2026-10-31,"$224,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hVfQdQAK/view"", ""MundoDreams S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eKt0OAE/view"", ""MundoDreams S.A. #GCP #INB #LOOKER STUDIO PRO"")",Jilver Tyson Fuentes,0-2: Tech Eval/Solution Dev,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OerTnIAJ/view"", ""MundoDreams S.A. #GCP #INB #LOOKER STUDIO PRO"")",,Corporate,MCO CORP SUR,,,,2026-09-30,2026-10-31,"$44,640.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000012m6EuIAI/view"", ""MASTERY ECOMMERCE SOLUTIONS INOVA SIMPLES (I.S.)"")",3,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eKeeOAE/view"", ""DN - Mastery B2B Tech - Provisionamento GCP"")",Vito Colognori Ialongo,4.3: Migrated/Implemented,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OKk38IAD/view"", ""DN - Mastery B2B Tech - Provisionamento GCP"")",,Brazil,Brazil DN,Customer Engagement,Applied AI Portfolio non CES,Not a Solution,2026-08-27,2026-08-28,"$25,011.84",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hLHSNQA4/view"", ""Grupo Assa S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kHeQOAU/view"", ""Grupo ASSA - Gemini Ent - 100 Seats"")",Daniel Cornejo,0-2: Tech Eval/Solution Dev,🟢 Ready (3 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OAKvgIAH/view"", ""Grupo ASSA - Gemini Ent - 100 Seats"")",,Corporate,MCO CORP CCA,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-11-03,2026-11-25,"$25,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h4sQpQAI/view"", ""LINDCORP S.A.C."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eJg5OAE/view"", ""Lindcorp | 100 Licencias Gemini Enterprise"")",Arianne Mahuad,3:  Proposal / Negotiation,🟢 Ready (3 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OppLxIAJ/view"", ""Lindcorp | 100 Licencias Gemini Enterprise"")","ER-503469, ER-492129",Corporate,MCO CORP CCA,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-10-01,2026-10-31,"$30,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001htuRKQAY/view"", ""Canal 13 SpA"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W9hXOAS/view"", ""canal 13 - WL Next26 Analitica&IaaS - Servinformacion"")",Mario Alegre,0-2: Tech Eval/Solution Dev,🟢 Ready (22 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OenOKIAZ/view"", ""Canal 13 - Next26 Analitica & Iaas - TBD"")",,Corporate,MCO CORP SUR,Analytics,The Agentic Data Cloud,Cloud BI and Embed Analytics (Looker),2026-08-12,,"$20,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000014s7jMIAQ/view"", ""ENDOLIFE HEALTH-TECH TECNOLOGIA LTDA"")",3,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eJ7FOAU/view"", ""Endolife #GCP"")",Thalita Miranda,4.2: Ramping / Deliver,🟢 Ready (19 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KiG97IAF/view"", ""Endolife #GCP  #IA #SystemMod #Acc_latam #MQL #Hypo #SST #Aprovado100k"")",,Brazil,Brazil DN,Migrate Modernize and Build,"Migrate, Modernize and Build",GKE/CloudRun,2026-08-10,2026-10-26,"$99,791.76",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hk8VHQAY/view"", ""Distribuidora Automotiva S/A"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZFoSOAW/view"", ""COMOLATTI - VERTEX AI"")",Jose Sales Andrade,3:  Proposal / Negotiation,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PFXR3IAP/view"", ""COMOLATTI #VERTEX AI (MODELOS DE AI) #GCP #OUT"")",,Corporate,BR CORP,Build with AI,"Your Business, Your Models",Not a Solution,2026-09-21,2026-11-02,"$25,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hrZZFQA2/view"", ""Precode Consulting e-Commerce Ltda"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZFSSOA4/view"", ""PRECODE  - GEMINI ENTERPRISE"")",Jose Sales Andrade,0-2: Tech Eval/Solution Dev,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PEpxmIAD/view"", ""PRECODE #GEMINI ENTERPRISE #GCP #OUT"")",,Corporate,BR CORP,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),,2026-07-31,2026-08-31,"$45,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002OCtLgQAL/view"", ""Licores de Guatemala"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W8tDOAS/view"", ""#GCP# Gemini Enterprise"")",Christiane Amorosino,3:  Proposal / Negotiation,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PE0wyIAD/view"", ""#GCP# Gemini Enterprise #Inbound #GT"")",,Corporate,MCO CORP CCA,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),AI Search & Specialized AI,2026-09-18,2026-09-29,"$28,687.50",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001htuQ2QAI/view"", ""Bethia S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W8X2OAK/view"", ""Megavision - Lab IA e Innovacion - Servinformacion"")",Mario Alegre,0-2: Tech Eval/Solution Dev,🟢 Ready (36 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000P8fAYIAZ/view"", ""Red Televisiva Megavision S.A. - Laboratorio LAB IA e INNOVACION - Servinformacion"")",,Corporate,MCO CORP SUR,Build with AI,Gemini Enterprise for Customer Experience (Build with AI),AI Search & Specialized AI,2026-08-13,2026-12-02,"$40,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001jwE51QAE/view"", ""Wallib SAS"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eGXjOAM/view"", ""FY26 INDUSTRIAS HACEB #Inbound #Gemini Enterprise #Iniciativas de IA"")",Jorge Armando Barrios,0-2: Tech Eval/Solution Dev,🟢 Ready (3 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000P78DqIAJ/view"", ""FY26 INDUSTRIAS HACEB #Inbound #Gemini Enterprise #Iniciativas de IA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000TakTKAS/view"", ""ER-506590"")",Corporate,MCO CORP NORTE,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-11-26,2026-12-28,"$120,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hf8yJQAQ/view"", ""FARMAENLACE CIA. LTDA."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eFPKOA2/view"", ""Revenue Incrementales nuevas empresas"")",Jorge Armando Barrios,3:  Proposal / Negotiation,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Op6PsIAJ/view"", ""Nuevas Empresas Farmaenlace"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000oRN2KAM/view"", ""ER-487768"")",Corporate,MCO CORP NORTE,Migrate Modernize and Build,Enterprise Platform of Choice: SAP,Not a Solution,2026-11-09,2026-12-07,"$100,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hcUu9QAE/view"", ""Pycca S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kFCeOAM/view"", ""Pycca #GCP: Cortex, Bigquery, AI"")",Alexandra Rodríguez,0-2: Tech Eval/Solution Dev,🟢 Ready (31 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000O9POBIA3/view"", ""Pycca SA #GCP/ Cortex, AI"")",,Corporate,MCO CORP NORTE,Analytics,"Migrate, Modernize, and Build with Data Cloud (Analytics)",Migrate Data Warehouses to BigQuery,2026-08-28,2026-10-23,"$37,200.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hlb16QAA/view"", ""Sociedad Agricola e Industrial San Carlos, S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kEp1OAE/view"", ""Ingenio San Carlos - Cortex, Data Analytics, GE"")",Alexandra Rodríguez,0-2: Tech Eval/Solution Dev,🟢 Ready (31 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000O9DW1IAN/view"", ""Ingenio San Carlos - Cortex, Data Analytics, GE"")",,Corporate,MCO CORP NORTE,Analytics,"Migrate, Modernize, and Build with Data Cloud (Analytics)",Migrate Data Warehouses to BigQuery,2026-10-02,2026-10-23,"$3,600.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hLwWwQAK/view"", ""Austral Group S.A.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eE88OAE/view"", ""Austral | Cortex en PRD - Consumo Infra"")",Arianne Mahuad,3:  Proposal / Negotiation,🟢 Ready (31 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OJWP2IAP/view"", ""Austral | Cortex en PRD"")","ER-506533, ER-475545, ER-494808",Corporate,MCO CORP CCA,Analytics,The Agentic Data Cloud,Cortex Framework,2026-11-01,2027-01-31,"$10,000.00",,
