Partner:,SoftwareOne Brasil,,,Last Update:,9 - Sep 2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Alert Criteria:,Target Go-Live risk for active pipeline (Stages 0-2 & 3),,🔴 Critical (≤14d / Overdue),🌸 High (15-30d),🟡 Medium (31-45d),,⚪ Normal (>45d / Stage 4+),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Customer Account Name,Account Tier,Workload Name,Workload Owner,Workload Progress,Capacity Status (DRP Readiness),Opportunity Name,Next Steps,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Sales Play,Workload Solution,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD),Last Touch,Link,Steff Priority
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001nUZ1mQAG/view"", ""Solar Coca Cola"")",Tier 2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kGjjOAE/view"", ""SolarBR #SAP IaaS"")",Ale Tavares,3:  Proposal / Negotiation,🟢 Ready (14 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Jf2vfIAB/view"", ""SolarBR #SAP IaaS #SAPCAP"")",22/06 - Proposta comercial será apresentada em 22/06.,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000PVbxKAG/view"", ""ER-484322"")",Corporate,BR CORP,Migrate Modernize and Build,Enterprise Platform of Choice: SAP,SAP Direct,2026-10-01,2027-04-01,"$810,033.00",,,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001p11ygQAA/view"", ""SCARFACE INDUSTRIA E COMERCIO DE CONFECCOES LTDA"")",Tier 2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZD6aOAG/view"", ""Ricardo Almeida - OnPremise To Cloud Storage"")",Victor Pimentel,3:  Proposal / Negotiation,🟢 Ready (14 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OpAURIA3/view"", ""Ricardo Almeida #GCP #OUT #MigrationFileServer"")",Parceiro retomou conversar recentemente com o cliente e estamos acompanhando,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf0000004RBhKAM/view"", ""ER-504985"")",Corporate,BR CORP,Migrate Modernize and Build,"Migrate, Modernize and Build",Not a Solution,2026-09-16,2026-09-29,"$95,000.00",,,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hLa8gQAC/view"", ""Myralis Pharma Ltda"")",Tier 2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZB27OAG/view"", ""Apigee_Myralis"")",Vanessa Moyses,4.2: Ramping / Deliver,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OlNi4IAF/view"", ""Apigee_Myralis"")",,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf0000004SRDKA2/view"", ""ER-508052"")",Corporate,BR CORP,Migrate and Modernize Databases,"Migrate, Modernize, and Build with Data Cloud (Apigee)",API Management (Apigee),2026-06-30,2026-08-31,"$60,000.00",,,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001suE7kQAE/view"", ""Avenue Securities LLC"")",Tier 1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082JvPOAU/view"", ""[GECX] Avenue - #CXAgentStudio - Next Generation Agents"")",Raphael Laxe,4.1: Pre Ramp / Mobilize,🟢 Ready (14 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NEbPoIAL/view"", ""[CES AI] Avenue - #CCaaS & #CA - Expansion CCaaS"")","08/23/26(RL)The customer is reporting CCaaS issues. After the product team's meeting to discuss these, check with the account team on moving this WL to stage 4.3.",,Brazil,Brazil DN,Customer Engagement,Gemini Enterprise for Customer Experience (Customer Engagement),Customer Experience Agent Studio,2026-07-30,2026-07-31,"$118,231.68",,,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001p11ygQAA/view"", ""SCARFACE INDUSTRIA E COMERCIO DE CONFECCOES LTDA"")",Tier 2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009oYfiOAE/view"", ""Agentspace_Ricardo Almeida"")",Fernanda Zuchetti,4.3: Migrated/Implemented,🟢 Ready (14 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000LZAw7IAH/view"", ""AgentSpace_Ricardo Almeida"")",,,Corporate,BR CORP,Build with AI,,Not a Solution,2025-11-24,2025-12-22,"$34,000.00",,,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001p11ygQAA/view"", ""SCARFACE INDUSTRIA E COMERCIO DE CONFECCOES LTDA"")",Tier 2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009t8KhOAI/view"", ""Ricardo Almeida - MigraçãoOnPremise_SWO"")",Sarah Tobias,4.3: Migrated/Implemented,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000LZBiHIAX/view"", ""Migração Databriks"")",Stopped - Processo de pre-sales ainda não iniciado.,,Corporate,BR CORP,Migrate Modernize and Build,"Migrate, Modernize and Build",Mainframe,2026-03-31,2026-05-27,"$30,000.00",,,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hKInOQAW/view"", ""B3 S A Brasil Bolsa Balcao"")",Tier 1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009stjFOAQ/view"", ""GenAI for Product Description"")",Jonatas Pereira,4.3: Migrated/Implemented,🟢 Ready (14 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KYW1cIAH/view"", ""Neoway - GenAI for Product Description"")",02/20 - customer will present the solution prototype to B3 executives to gather sponsorship,,Brazil,FSI,Customer Engagement,Gemini Enterprise for Customer Experience (Customer Engagement),Customer Experience Agent Studio,2025-05-23,2025-07-07,"$30,000.00",,,
