Pillar,Solution (Sales Play),Product,Tier 1 Profiles Count,Tier 2 Profiles Count,Total Tier 1 & 2 Profiles
Application Modernization,"Migrate, Modernize and Build",Cloud Run,0,1,1
Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,0,1,1
Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,1,1,2
Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,1,1,2
Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,1,1,2
Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,1,1,2
Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,1,1,2
Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,0,2,2
Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,1,1,2
